user,topic_id,id,createdAt,attempt,response,userMessage
demo-test-5,1001,128951,2025-10-02 03:34:16.595,1,"Hello, demo-test-5! Great to see you again! You've been doing well, but we still have some grammar and vocabulary lessons to complete. What topic would you like to discuss today? English grammar, vocabulary, or something else? Let me know! ?", 
demo-test-1,1001,129489,2025-10-07 08:31:05.001,2,"It looks like you're a bit quiet today! ? No worries! Let's make it fun! Can you tell me about your favorite food? Use ""I'm"" in your answer! For example, ""I'm hungry!"" Your turn! ?✨", 
demo-test-1,1001,130284,2025-10-19 15:10:48.860,1,"Hello, demo-test-1! ? Great to see you again! Last time, we practiced using ""I'm"" and ""I'd."" Remember, ""I'm"" means ""I am,"" and ""I'd"" means ""I would."" What topic do you want to discuss today? Let's have fun learning! ?", 
demo-test-1,1073,130285,2025-10-19 15:10:56.900,1,"Hello! Welcome! Today, we will practice introducing yourself in English for a business setting. Where do you usually introduce yourself? Is it in meetings, interviews, or networking events? Let's make it fun! ?",Presentation Intro⚡
demo-test-1,1073,130286,2025-10-19 15:11:09.693,2,"No problem! Let's choose one together! Would you like to practice for a Zoom meeting, a job interview, or a networking event? Pick one! ?",idk
demo-test-1,1073,130287,2025-10-19 15:11:55.467,3,"That's okay! Let's try a job interview. It’s very useful! Ready? Let's start! \n\nFirst, what’s your name and job title? ?",idk
demo-test-1,1073,130288,2025-10-19 15:12:32.703,4,"Great, Ray! Now, what is your job title? What do you do? ?",Ray
demo-test-1,1073,130289,2025-10-19 15:12:44.872,5,"Awesome, Ray! So, you could say, ""I’m Ray, a doctor."" \n\nWould you like to add where you work? ?",I'm a doctor
demo-test-1,1073,130290,2025-10-19 15:12:53.051,6,"That's fine, Ray! Let’s move to the next question. \n\nWhat are your main responsibilities as a doctor? ?",no
demo-test-1,1073,130291,2025-10-19 15:13:00.684,7,"No worries, Ray! Let’s try something personal. \n\nWhat’s something unique or interesting about you? ?",don't have
demo-test-1,1073,130292,2025-10-19 15:13:05.909,8,"That's okay, Ray! How about this: do you have a hobby or a favorite activity? It can be anything fun! ?",idk
demo-test-1,1073,130293,2025-10-19 15:13:14.713,9,"You're welcome, Ray! ? If you think of something later, just let me know. \n\nNow, let’s review what we have: \n\n""I'm Ray, a doctor."" \n\nWould you like to try saying it in a different way? For example, “I’m Ray, currently working as a doctor.” Would you like to try that?",thanks
demo-test-1,1073,130294,2025-10-19 15:13:20.825,10,"That's perfectly fine, Ray! ? \n\nLet’s move on. Imagine you’re saying this to a new team or client. Do you feel confident with your introduction? Think about your tone and body language. What do you think?",no
demo-test-1,1073,130295,2025-10-19 15:13:28.159,11,"Awesome! I'm glad to hear that, Ray! ? \n\nNow, what part of this was easy for you? And is there anything you would like to improve?",it's good
demo-test-1,1073,130296,2025-10-19 15:13:34.680,12,"Great! You're doing really well, Ray! ? \n\nNow, let's try something fun! Would you like to practice in a casual setting, create an elevator pitch, speak to an international team, or use more advanced vocabulary? Pick one!",no
demo-test-1,1073,130297,2025-10-19 15:13:42.265,13,"Okay, Ray! Which option would you like to choose? A casual setting, elevator pitch, speaking to an international team, or using more advanced vocabulary? ?",oke
demo-test-1,1073,130298,2025-10-19 15:13:51.903,14,"Perfect choice, Ray! Let’s make it casual! \n\nStart with, “Hey everyone, I’m Ray, a doctor.” \n\nNow, can you add something fun or interesting about yourself? ?",casual
demo-test-1,1073,130299,2025-10-19 15:14:05.855,15,"That's alright, Ray! You can keep it simple. \n\nSo, your casual intro could be: “Hey everyone, I’m Ray, a doctor.” \n\nWould you like to say this out loud now? It’s a good practice! ?",no
demo-test-1,1073,130300,2025-10-19 15:14:05.886,16,Your Grading Result\nTopic: Presentation Intro⚡\n,
demo-test-1,1073,130301,2025-10-19 15:14:35.674,17,"Great, Ray! ? You're doing well! \n\nWould you like to try your introduction again, adding more details? If you need help, just let me know!",ok
demo-test-1,1073,130302,2025-10-19 15:14:35.705,18,Your Grading Result\nTopic: Presentation Intro⚡\n,
demo-test-1,1073,130303,2025-10-19 15:15:09.669,19,"No problem, Ray! ? Take your time. Let's build your introduction step by step again! \n\nStart with, “Hey everyone, I’m Ray, a doctor.” \n\nNext, can you tell me what you do or something unique about yourself?",hmm
demo-test-1,1073,130304,2025-10-19 15:15:09.696,20,Your Grading Result\nTopic: Presentation Intro⚡\n,
demo-test-1,1073,130305,2025-10-19 15:16:49.361,21,"Great, Ray! ? Let’s keep going! \n\nStart with, “Hey everyone, I’m Ray, a doctor.” \n\nNow, can you tell me one thing you enjoy about being a doctor?",ok
demo-test-1,1073,130306,2025-10-19 15:16:49.392,22,Your Grading Result\nTopic: Presentation Intro⚡\n,
demo-test-1,1073,130307,2025-10-19 15:17:39.406,23,"Hello, Ray! ? Just checking in? Are you ready to continue practicing your introduction? Remember, we can build it step by step!",test
demo-test-1,1073,130308,2025-10-19 15:17:39.436,24,Your Grading Result\nTopic: Presentation Intro⚡\n,
demo-test-1,1073,130309,2025-10-19 15:18:05.785,25,"Hello again, Ray! ? It seems like you're testing. If you're ready to continue with our introduction practice or have any questions, just let me know! I'm here to help!",test
demo-test-1,1073,130310,2025-10-19 15:18:05.813,26,Your Grading Result\nTopic: Presentation Intro⚡\n,
demo-test-1,1001,130311,2025-10-19 15:28:08.279,1,"I'm happy to help! Here are some sentences: ""I'm a student."" ""I'm hungry."" ""I'm happy today!"" \n\nWhat about you? Can you make a sentence with ""I'm""? ?", 
demo-test-3,1001,130312,2025-10-19 16:12:39.316,1,"Hello, demo-test-3! ? Great to see you! Yesterday, we talked about the importance of learning English. You did well! Today, what topic do you want to discuss? You could say, ""I want to talk about..."" What do you think?", 
demo-test-3,1073,130313,2025-10-19 16:17:09.740,1,"Hello! I'm Japi, your fun English tutor! Today, we will build your self-introduction for business. Where do you usually introduce yourself in English — meetings, interviews, or networking events? Let me know so I can help you better! ?",Presentation Intro⚡
demo-test-3,1073,130314,2025-10-19 16:17:23.914,2,"Great choice! Let's practice for a Zoom meeting. First step: What’s your name and job title? For example, “I am Japi, the English tutor.” Your turn!",in meeting
demo-test-3,1073,130315,2025-10-19 16:18:20.523,3,"Nice job, Adit! You could say, ""Hi, I'm Aditya, but you can call me Adit. I'm an Executive Producer."" \n\nWould you like to try saying it like that? Let's move to the next question! Where do you work or what do you do?","Hi, i'm aditya, you can call me adit. i'm executive producer."
demo-test-3,1073,130316,2025-10-19 16:19:10.639,4,"That sounds wonderful, Adit! You could say, ""I work at Japi Edutech, and my job is to make people happy."" \n\nNow, what are your main responsibilities? What do you do as an Executive Producer?","I work at Japi edutech, and my job is to make people happy."
demo-test-3,1073,130317,2025-10-19 16:20:30.105,5,"Good effort, Adit! You could say, ""I am responsible for guarding and protecting the assets of my company."" \n\nNext question: Where are you based? (This is optional!) You can say your city or country.",I have to guard and protect the asset of my company.
demo-test-3,1073,130318,2025-10-19 16:21:18.135,6,"Nice! You could say, ""I live in Jakarta."" \n\nNow, for the last question: What’s something personal or unique about you? Share something fun or interesting!",i live in jakarta.
demo-test-3,1073,130319,2025-10-19 16:22:05.436,7,"That's a lovely quality, Adit! You could say, ""I have a special ability to make people happy around me."" \n\nNow, let's put everything together! Here’s what we have so far: \n\n""Hi, I'm Aditya, but you can call me Adit. I'm an Executive Producer at Japi Edutech. I am responsible for guarding and protecting the assets of my company. I live in Jakarta, and I have a special ability to make people happy around me.""\n\nHow does that sound? Would you like to practice saying it all together?","I have special ability, that is to make poeple happy around me."
